product_code,device_name,device_class,medical_specialty,medical_specialty_description,regulation_number,definition,gmp_exempt_flag,submission_type_id
HEE,"Set, Anesthesia, Paracervical",2,OB,Obstetrics/Gynecology,884.5100,,N,1
SBP,Simple Point-Of-Care Nucleic Acid-Based Hepatitis C Virus Ribonucleic Acid Test,2,MI,Microbiology,866.3171,"A simple point-of-care nucleic acid-based hepatitis C virus (HCV) ribonucleic acid (RNA) test is an in vitro diagnostic device that is intended for prescription use for the detection of HCV RNA in clinical specimens as an aid in the diagnosis of HCV infection or as an aid in the management of HCV-infected patients, including individuals without antibodies to HCV. This device is simple to use and does not involve sample manipulation, transportation of the sample to another functional area (e.g., a central laboratory or other specialized area), or measurement of reagents or analytes that could be affected by conditions such as sample turbidity or cell lysis. The test is not intended for use as a donor screening test for the presence of HCV RNA in blood, blood products, or tissue donors.",N,1
PJY,Osseoanchored Prostheses For The Rehabilitation Of Transfemoral Amputees,3,,Unknown,,The device is a percutaneous prosthetic device for the direct skeletal attachment of a prosthetic limb.,N,2
DEZ,"Igm, Rhodamine, Antigen, Antiserum, Control",2,IM,Immunology,866.5550,,N,1
EBO,Denture Repair Kit,2,DE,Dental,872.3570,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
LFZ,"Enzyme Linked Immunoabsorbent Assay, Cytomegalovirus",2,MI,Microbiology,866.3175,,N,1
PNV,Impedance Measuring Device Utilizing Oscillation Techniques,2,AN,Anesthesiology,868.1840,This device measures respiratory impedance.,N,1
OTD,Endovascular Suturing System,2,CV,Cardiovascular,870.3460,Provides fixation and sealing between and endovascular graft and the native artery.,N,1
JZX,"Equipment, Rocket Immunoelectrophoresis",1,IM,Immunology,866.4830,,N,4
SGJ,Ultrasound Imaging System For Acquiring Images At Home By Lay Users,2,RA,Radiology,892.1590,"An ultrasound imaging system for acquiring images at home by lay users is a prescription home use device that may consist of hardware and/or software intended for acquiring ultrasound images for interpretation by a qualified health care professional (e.g., fetal images for determination of fetal heart rate). The device provides guidance to lay users to aid image acquisition.",N,1
ION,"Exerciser, Non-Measuring",1,PM,Physical Medicine,890.5370,,Y,4
DND,"Radioimmunoassay, Digitoxin (125-I), Rabbit Antibody, Solid Phase Sep.",2,TX,Clinical Toxicology,862.3300,,N,1
HOR,Simulatan (Including Crossed Cylinder),1,OP,Ophthalmic,886.1840,,Y,4
LKX,"Device, Thermal, Hemorrhoids",U,,Unknown,,,N,1
HMQ,"Marker, Sclera",1,OP,Ophthalmic,886.4570,,N,4
KAO,"Curette, Ethmoid",1,EN,"Ear, Nose, Throat",874.4420,,N,4
KEP,"Media, Mounting, Oil Soluble",1,PA,Pathology,864.4010,,Y,4
EGI,Parallelometer,1,DE,Dental,872.4565,,N,4
HLM,"Instrument, Measuring, Lens, Ac-Powered",1,OP,Ophthalmic,886.1425,,N,4
QFZ,Gastroenterology-Urology Accessories To A Biopsy Instrument,1,GU,"Gastroenterology, Urology",876.1080,A gastroenterology-urology accessory to a biopsy instrument is an accessory used to remove a specimen of tissue for microscopic examination by cutting or aspiration.  This generic type of device includes a syringe for specimen aspiration and a biopsy channel adaptor.  This device does not include accessories to biopsy instruments used in other medical specialty areas.,N,4
MRG,"System, Test, Vitamin D",2,CH,Clinical Chemistry,862.1825,,N,1
PKI,Fully Subcutaneous Implanted Hemodialysis Catheter,2,GU,"Gastroenterology, Urology",876.5540,Provides access to the blood for hemodialysis or other chronic uses.,N,1
REP,Surveying Laser Product,N,,Unknown,,"Product, laser, surveying, instrument, determine position by measurement of angles",Y,
DMS,"Gases, Glc",1,CH,Clinical Chemistry,862.2250,,N,4
GGN,"Plasma, Coagulation Control",2,HE,Hematology,864.5425,,N,4
GWK,"Conditioner, Signal, Physiological",2,NE,Neurology,882.1845,,N,1
HEM,"Imager, Ultrasonic Obstetric-Gynecologic",2,OB,Obstetrics/Gynecology,884.2225,,N,1
SDZ,Endovascular System For Treatment Of Ascending Aorta And Aortic Arch Lesions,3,,Unknown,,Endovascular Repair of Ascending Aorta and Aortic Arch Lesions,N,2
HIH,Hysteroscope (And Accessories),2,OB,Obstetrics/Gynecology,884.1690,,N,1
GWN,Nystagmograph,2,NE,Neurology,882.1460,,N,1
GHZ,"Solution, Gugol Blue",1,HE,Hematology,864.1850,,Y,4
LKO,"Anti-Rnp Antibody, Antigen And Control",2,IM,Immunology,866.5100,,N,1
EJS,"Alloy, Other Noble Metal",2,DE,Dental,872.3060,,N,4
MCG,"Dna-Probe, Agent, Listeria",1,MI,Microbiology,866.3355,,N,4
CGR,"Radioimmunoassay, Cortisol",2,CH,Clinical Chemistry,862.1205,,N,1
NPW,Percutaneously Delivered Prostheses And Tricuspid Valves,3,,Unknown,,These devices are intended to replace a patient's tricuspid heart valve.  They are different from the classified device (heart valves) in that they are placed percutaniously and do not require open chest surgery or a cardiotomy for placement.,N,2
GTN,"Antisera, Fluorescent, All Types, Staphylococcus Spp.",1,MI,Microbiology,866.3700,,N,4
FTL,"Mesh, Surgical, Polymeric",2,SU,"General, Plastic Surgery",878.3300,,N,1
JOB,"Hexane Extraction, Fluorescence, Vitamin E",1,CH,Clinical Chemistry,862.1815,,N,4
LAI,"Thin Layer Chromatography, Opiates",2,TX,Clinical Toxicology,862.3650,,N,1
MFK,"Lens, Multifocal Intraocular",3,OP,Ophthalmic,886.3600,,N,2
GGJ,"Fluid, Diluting, White-Cell",1,HE,Hematology,864.8200,,N,4
HPO,"Magnet, Ac-Powered",2,OP,Ophthalmic,886.4440,,N,4
MIX,"System, Vocal Cord Medialization",2,EN,"Ear, Nose, Throat",874.3620,,N,1
JMY,"Citrulline, Arsenate, Nessler (Colorimetry), Ornithine Carbamyl Transferase",1,CH,Clinical Chemistry,862.1535,,N,4
EHQ,"Cusp, Preformed",1,DE,Dental,872.3360,,N,4
JIJ,"Wet Ash Method, Protein-Bound Iodine",1,CH,Clinical Chemistry,862.1640,,N,4
MDP,"Separator For Therapeutic Purposes, Membrane Automated Blood Cell/Plasma",3,,Unknown,,,N,2
SHA,Solid Wound Dressing With Permanently Bound Antimicrobial Agent,2,SU,"General, Plastic Surgery",878.4013," A solid wound dressing with permanently bound antimicrobial agent consists of a solid wound dressing containing antimicrobial permanently bound to the substrate surface. The solid wound dressing is used to cover and protect a wound, to absorb exudate, and to maintain appropriate moisture balance within the wound and is intended for use only on external cutaneous (skin) wounds. The solid wound dressing is provided sterile in a form able to hold structural integrity. Antimicrobials are used for protectant purposes only to reduce microbial growth within the solid wound dressing while in use, or to provide an antimicrobial barrier to microbial penetration through the solid wound dressing. This classification does not include solid wound dressings containing a medically important antimicrobial as defined in the special controls.",N,1
QRC,Non-Implanted Electrical Stimulation Device For Management Of Premature Ejaculation,2,GU,"Gastroenterology, Urology",876.5026,A non-implanted electrical stimulation device for management of premature ejaculation is intended to be used in patients with premature ejaculation by delivery of electrical stimulation to the perineal muscles and nerves.,N,1
RGH,Toilet Seat Sanitizer,N,,Unknown,,An ultraviolet wavelength noncoherent light source used for sanitizing toilet seats.,Y,
DKE,"Reagents, Test, Tetrahydrocannabinol",2,TX,Clinical Toxicology,862.3870,,N,1
JBQ,Antithrombin Iii Quantitation,2,HE,Hematology,864.7060,,N,1
NLP,"Drills, Burrs, Trephines, And Accessories (Powered Compound), Reprocessed",2,NE,Neurology,882.4305,"Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
HFD,"Washer, Endometrial",2,OB,Obstetrics/Gynecology,884.1185,,N,1
EFN,"Cotton, Roll",1,DE,Dental,872.6050,,Y,4
OKW,Seminal Fluid Collection Kit,2,OB,Obstetrics/Gynecology,884.5300,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance",N,7
GZL,"Electrode, Depth",2,NE,Neurology,882.1330,,N,1
JLJ,"Uridine-5-Diphosphoglucose, Nad (U.V.), Alpha-D Galactose-1-Phosphate",2,CH,Clinical Chemistry,862.1315,,N,1
MOI,"System, Test, Immunological, Antigen, Tumor",2,IM,Immunology,866.6010,,N,1
KMY,"Positioner, Tooth, Preformed",1,DE,Dental,872.5525,,N,4
OVF,"Assay, Direct, Nucleic Acid Amplification, Q Fever",1,MI,Microbiology,866.3500,These reagents are nucleic acid primers and probes intended for the amplification and identification of Coxiella burnetii directly from clinical specimens. The identification aids in the diagnosis of Q Fever and provides epidemiological information on this disease. This reagent differs from the description in the regulation in that it consists of nucleic acid primers and probes rather than antisera or antigens.,N,1
CAO,"Airway, Esophageal (Obturator)",2,AN,Anesthesiology,868.5650,,N,1
EAS,"Gel, Electrode, For Pulp Tester",1,DE,Dental,872.1730,,N,4
QSN,Orthopedic Infection Microbial Multiplex Nucleic Acid Detection System,2,MI,Microbiology,866.3988,A qualitative nucleic acid assay that detects and identifies microbial organisms and antimicrobial resistance markers in clinical specimens to aid in the diagnosis of orthopedic infections.,N,1
GBJ,"Prosthesis, Adhesive, External",1,SU,"General, Plastic Surgery",878.3750,,N,4
EGT,"Controller, Temperature, Radiographic",2,RA,Radiology,892.1900,,N,4
PUX,"Test, Amphetamine, Employment And Insurance Testing, Exempt",2,TX,Clinical Toxicology,862.3100,"The amphetamine test is an in vitro diagnostic test for the qualitative analysis of amphetamine for employment and insurance testing.    FDA has exempted these devices from the premarket notification requirement by publishing in the Federal Register of July 11, 2017 (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices subject to the limitations under 21 CFR XXX.9, where XXX refers to Parts 862-892, and any limitations on the exemption described in (82 FR 31976).  Any device that exceeds the limitations found in 21 CFR sections 862.9 to 892.9 or identified in the Federal Register  (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices is required to submit a premarket notification submission (510(k)) to FDA before introducing a device into interstate commerce.  If a manufacturers device is exempt from the premarket notification requirement, then a premarket notification submission and FDA clearance is not required before marketing the device in the U.S. however, manufacturers are required to meet all other requirements under the Federal Food Drug & Cosmetic and implementing regulations including (but not limited to) registration and listing requirements. Please see the Device Registration and Listing website for additional information on registration and listing.",N,4
QER,"Camera, Ophthalmic, Slit-Scanning",2,OP,Ophthalmic,886.1120,An ophthalmic slit-scanning camera is an AC-powered device intended to take photographs of the eye and the surrounding area.,N,1
JBM,"Glucose-6-Phosphate Dehydrogenase (Erythrocytic), Electrophoresis",2,HE,Hematology,864.7360,,N,1
MXO,"Laser, System, Phacolysis",2,OP,Ophthalmic,886.4670,,N,1
QOV,Critical Care Ventilator,N,,Unknown,,A continuous ventilator (respirator) is a device intended to mechanically control or assist patient breathing by delivering a predetermined percentage of oxygen in the breathing gas during emergency and/or transfer use. Device is intended to be used temporarily and/or in emergency situations during declared public health emergency.,N,8
ILC,"Utensil, Eating",1,PM,Physical Medicine,890.5050,,Y,4
ELK,"Teeth, Artificial, Backing And Facing",1,DE,Dental,872.3910,,N,4
HPG,"Aid, Vision, Electronic, Battery-Powered",1,OP,Ophthalmic,886.5900,,N,4
GGY,"Pipette, Diluting",1,HE,Hematology,864.6160,,N,4
LEQ,"Detectors, Electrochemical, Liquid Chromatography",1,CH,Clinical Chemistry,862.2260,,N,4
PAT,Bladder System,f,,Unknown,,"for the treatment of patients who have complete spinal cord lesions (ASIA Classification) with intact parasympathetic innervation of the bladder and are skeletally mature and neurologically stable, to provide urination on demand and to reduce post-void residual volumes of urine.",N,6
BZR,"Mixer, Breathing Gases, Anesthesia Inhalation",2,AN,Anesthesiology,868.5330,,N,1
LDB,"U.V. Spectrometry, Carbamazepine",2,TX,Clinical Toxicology,862.3645,,N,1
MAM,"Dna-Probe, B And T Lymphocyte",2,HE,Hematology,864.5220,,N,1
SDG,Brain Intraparenchymal Infusion Cannula,2,NE,Neurology,882.4110,"A brain intraparenchymal infusion cannula is a non-powered, hollow tube-like device with a rigid component for stereotaxic-aided temporary placement in brain parenchyma tissue to deliver a therapy.",N,1
HIS,Condom,2,OB,Obstetrics/Gynecology,884.5300,,N,1
EKY,"Handpiece, Water-Powered",1,DE,Dental,872.4200,,N,1
HIY,"Brush, Haidinger, (Including Macular Integrity)",1,OP,Ophthalmic,886.1090,,N,4
NUF,"Catheter, Neurovasculature, Occluding Balloon",3,NE,Neurology,882.5150,"Call for PMAs - 12/26/96 per 61 FR 50708 on 9/27/96 - For the treatment of cerebral ischemia resulting from symptomatic  vasospasm following aneurismal subarachnoid hemorrhage, secured by either  surgical or endovascular intervention for patients who have failed maximal  medical management",N,2
IDC,Acridine Orange,1,HE,Hematology,864.1850,,Y,4
SGG,"Mass Spectrometric, Immunoglobulins (G, A, M, D, E)",2,IM,Immunology,866.5510,The test system is intended for the (semi-)quantitative or quantitative determination of monoclonal immunoglobulins (M-proteins) and/or the identification of Immunoglobulin isotype of M-proteins in human specimens by mass spectrometric methods.,N,1
NTK,"Caries Detector, Laser Light, Transmission",2,DE,Dental,872.1745,,N,1
QMV,Device To Detect And Identify Selected Microbial Agents That Cause Acute Febrile Illness,2,MI,Microbiology,866.3966,"A device to detect and identify selected microbial agents that cause acute febrile illness is identified as a in vitro device intended for the detection and identification of microbial agents in human clinical specimens from patients with signs and symptoms of acute febrile illness who are at risk for exposure or who may have been exposed to these agents. It is intended to aid in the diagnosis of acute febrile illness in conjunction with other clinical, epidemiologic, and laboratory data, including patient travel, pathogen endemicity, or other risk factors.",N,1
OPX,Immunoglobulin A Kappa Heavy & Light Chain Combined,2,IM,Immunology,866.5510,"Intended for the in-vitro quantification of iga kappa concentration in human serum.  The result is to be used with previously diagnosed iga multiple myeloma, in conjunction with other clinical and laboratory findings.  For previously diagnosed iga multiple myeloma patients.",N,1
EIX,"Probe, Periodontic",1,DE,Dental,872.4565,,N,4
NMN,"Instrument, Clip, Forming/Cutting, Reprocessed",1,NE,Neurology,882.4190,"Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
HTC,"Pliers, Surgical",1,SU,"General, Plastic Surgery",878.4800,,N,4
JAB,"System, X-Ray, Fluoroscopic, Non-Image-Intensified",2,RA,Radiology,892.1660,,N,1
RBD,"Video Monitor, Medical Imaging, Color",N,,Unknown,,An electronic product using a color cathode ray tube to display medical images in colors from signals from a computer or electronic medical device.,Y,
JJO,Flame Emission Photometer For Clinical Use,1,CH,Clinical Chemistry,862.2540,,N,4
LJX,"Test, Urine Leukocyte",1,HE,Hematology,864.7675,,N,4
NFH,"Digitizer, Images, Ophthalmic",2,RA,Radiology,892.2030,,N,4
FCF,"Instrument, Biopsy, Mechanical, Gastrointestinal",2,GU,"Gastroenterology, Urology",876.1075,,N,1
LBG,"Device, Fluidized Therapy, Dry Heat",2,PM,Physical Medicine,890.5500,,N,1
MPJ,Interarticular Disc Prosthesis (Interpositional Implant),3,DE,Dental,872.3970,,N,2
MSS,"Folders And Injectors, Intraocular Lens (Iol)",1,OP,Ophthalmic,886.4300,,N,1
JCA,"Device, Bleeding Time",2,HE,Hematology,864.6100,,N,4
DLF,"Enzyme Immunoassay, Ethosuximide",2,TX,Clinical Toxicology,862.3380,,N,1
GJR,"Control, Red-Cell",2,HE,Hematology,864.8625,,N,4
LTC,Hyaline Membrane Disease Assay,3,,Unknown,,,N,3
MSK,Immunoassay For Blood Tacrolimus,N,,Unknown,,,N,3
OTQ,Research Use Only/Hematology Devices,N,,Unknown,,For research use only and for products imported into the US only.,Y,7
MKO,Falloposcope,2,OB,Obstetrics/Gynecology,884.1690,,N,1
OSV,"Insufflator, Endoscopic Vessel Harvesting",2,OB,Obstetrics/Gynecology,884.1730,To provide selected flow rates and pressures of co2 gas to separate tissue planes so the saphenous vein or radial artery can be isolated and ligated.,N,1
MCF,"Unit, Ultraviolet Sanitation/Sterilization (For Toothbrushes), Sterile",1,DE,Dental,872.6855,,N,4
QSF,Software Option For Anesthesia Gas Machine To Achieve And Maintain Targeted End Tidal Oxygen And Anesthetic Agents,3,,Unknown,,"The software feature is  indicated for use with the anesthesia system to support clinicians in maintaining the targeted end tidal oxygen and end tidal anesthetic agent concentrations that the clinician sets during an anesthetic procedure, by making multiple, limited adjustments to the fresh gas composition and total flow. The software  feature is indicated for adult patients, 18 years of age and older.    The anesthesia system and the software feature are intended for prescription use only.",N,2
OLW,Index-Generating Electroencephalograph Software,2,NE,Neurology,882.1400,Analyze electrical activity of the brain by transformation of electroencephalograph signals into a dimensionless index number for use and interpretation by a qualified user.,N,1
PHJ,"System, Mass Spectrometry, Multiplex Genotyping, Hereditary Thrombophilia Related Mutations",2,HE,Hematology,864.7280,A multiplex genotying test system intended for the qualitative detection and identification of specific thrombophilia related gene mutations from genomic DNA by genomic amplification and mass spectrometry.  It is intended as an aid in diagnosis of patients with suspected thrombophilia.,N,1
GNG,"Antigens, Cf (Including Cf Control), Coxsackievirus A 1-24, B 1-6",1,MI,Microbiology,866.3145,,N,4
OCO,"Mouthguard, Migraine/Tension Headache",U,,Unknown,,"A device to be used in the prophylactic treatment of medically diagnosed migraine pain as well as migraine associated tension-type headaches, by reducing their signs and symptoms through reduction of trigeminally innervated muscular activity, and; For the prevention of bruxism and tmj syndrome through reduction of trigeminally innervated muscular activity.",N,1
QUU,Simple In Vitro Diagnostic Device For The Detection Of Secreted Proteins From Bacillus Spp. In Human Clinical Samples,2,MI,Microbiology,866.3046,"A simple in vitro diagnostic device for the detection of secreted proteins from Bacillus species (spp.) is a prescription in vitro diagnostic device used to detect and presumptively identify B. anthracis and other Bacillus spp. in human clinical samples as an aid in the diagnosis of anthrax and other diseases caused by Bacillus spp. This device is simple to use and does not involve sample manipulation or measurement of an analyte that could be affected by conditions such as sample turbidity or cell lysis. This device may be used to aid in the presumptive diagnosis of anthrax in individuals who have signs and symptoms consistent with anthrax and a likelihood of exposure. Bacillus infections include anthrax (cutaneous, inhalational, or gastrointestinal) caused by B. anthracis, gastrointestinal disease, non-gastrointestinal infections, and an anthrax-like illness caused by B. cereus.",N,1
GMB,"Light, Wood'S, Fluorescence",1,MI,Microbiology,866.2600,,Y,4
JET,"Pick, Massaging",1,DE,Dental,872.6650,,Y,4
MLS,Labor And Delivery Kit,2,OB,Obstetrics/Gynecology,884.4530,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance",N,7
JCY,"Catheter, Infusion",1,SU,"General, Plastic Surgery",878.4200,,N,4
QJU,Image Acquisition And/Or Optimization Guided By Artificial Intelligence,2,RA,Radiology,892.2100,"A radiological acquisition and/or optimization guidance system is a device that is intended to aid in the acquisition and/or optimization of images and/or diagnostic signals. The device interfaces with the acquisition system, analyzes its output, and provides guidance and/or feedback to the operator for improving image and/or signal quality.",N,1
REL,Guide-Star Laser System,N,,Unknown,,"Product, laser, adaptive-optics telescope focusing accessory, generate artificial star; A laser used for focusing adaptive-optics telescopes.",Y,
HSN,"Prosthesis, Ankle, Semi-Constrained, Cemented, Metal/Polymer",2,OR,Orthopedic,888.3110,,N,1
MZH,"Test, Quantitative, For Hla, Non-Diagnostic",N,,Unknown,,,N,3
HXB,Probe,1,OR,Orthopedic,888.4540,,N,4
FFW,"String And Tubes, Gastrointestinal, To Locate Internal Bleeding",2,GU,"Gastroenterology, Urology",876.5980,,N,1
IWM,"Synchrotron, Medical",2,RA,Radiology,892.5050,,N,1
MRQ,"Analyzer, Nitrogen Dioxide",2,AN,Anesthesiology,868.2385,,N,1
SAX,Home Monitoring Ophthalmic Optical Coherence Tomography (Oct) Imaging Device,2,OP,Ophthalmic,886.1600,A home monitoring ophthalmic imaging device is a prescription self-imaging device that incorporates imaging system hardware and automated image processing and analysis to enable patients at home to provide measurements that are intended for use by a physician for monitoring ophthalmic diseases or conditions in between regularly scheduled assessments.,N,1
NOZ,"Assay, 1,5-Anhydroglucitol (15ag)",2,HE,Hematology,864.7470,"The test provides quantitative measurement of 1,5-anhydroglucitol (15AG) in patient's blood. The test is for professional use, and is indicated for the monitoring of glycemic control in people with diabetes.",N,1
DPI,"Radioimmunoassay, Digoxin (125-I), Bovine Antibody, Charcoal Sep.",2,TX,Clinical Toxicology,862.3320,,N,1
JPD,Hemoglobin A2 Quantitation,2,HE,Hematology,864.7400,,N,1
DSR,"Stimulator, Carotid Sinus Nerve",3,CV,Cardiovascular,870.3850,Call for PMAs 12/26/96 (61 FR 50706 (9/27/96)),N,2
RCS,"Microwave Oven, Commercial",N,,Unknown,,"A machine that utilizes microwave radiation for food preparation, designed for commercial establishments",Y,
FNG,"Lift, Patient, Ac-Powered",2,HO,General Hospital,880.5500,,N,4
PVV,Paracervical Anesthesia Kit,2,OB,Obstetrics/Gynecology,884.5100,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
HJH,"Loupe, Binocular, Low Power",1,OP,Ophthalmic,886.5120,,Y,4
MNR,Ventilatory Effort Recorder,2,AN,Anesthesiology,868.2375,,N,1
CHG,"Acid, Phosphoric-Tungstic (Spectrophotometric), Chloride",2,CH,Clinical Chemistry,862.1170,,N,1
SEM,Sub-Scalp Implanted Electroencephalogram System For Remote Patient Monitoring,2,NE,Neurology,882.1360,"A sub-scalp implanted electroencephalogram (EEG) system for remote patient monitoring is a prescription device used for continuously acquiring, transmitting, and storing electrical brain activity of patients with epilepsy. The device consists of sub-scalp implanted electrodes that are connected to a transmitter or storage device. The device is used to aid clinicians in the remote monitoring of electrical activity in the patients brain. The device is not intended to be implanted in brain tissue.",N,1
IFP,"Formalin, Neutral Buffered",1,PA,Pathology,864.4010,,Y,4
GQX,"Antiserum, Cf, Varicella-Zoster",2,MI,Microbiology,866.3900,,N,1
JYN,"Inserter, Sacculotomy Tack",1,EN,"Ear, Nose, Throat",874.4420,,N,4
PDQ,Neurosurgical Nerve Locator,2,EN,"Ear, Nose, Throat",874.1820,To locate or monitor function of spinal nerve roots or peripheral nerves during neurosurgery.,N,1
QRJ,Laser-Powered Inferior Vena Cava Filter Retrieval Catheter,2,CV,Cardiovascular,870.5125,A laser-powered inferior vena cava (IVC) filter retrieval catheter is a percutaneous catheter that uses a laser to ablate tissue and is intended to facilitate in the detachment and removal of indwelling IVC filters.,N,1
NLD,"Instrument, Diamond, Dental, Reprocessed",1,DE,Dental,872.4535,"same as DZP except reprocessed. Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
CAM,"Yoke Assembly, Medical Gas",1,AN,Anesthesiology,868.6885,,N,4
MXG,"Lamp, Uvc, (For Treating Skin And Wounds)",2,SU,"General, Plastic Surgery",878.4630,,N,1
FSM,"Tray, Surgical, Instrument",1,SU,"General, Plastic Surgery",878.4800,,N,4
RGD,Counterfeit Detection,N,,Unknown,,An ultraviolet wavelength noncoherent light source used for detection of counterfeit money.,Y,
KRO,"Prosthesis, Knee, Femorotibial, Constrained, Cemented, Metal/Polymer",2,OR,Orthopedic,888.3510,,N,1
FMS,"Bed, Pediatric Open Hospital",2,HO,General Hospital,880.5140,,N,4
KWM,"Prosthesis, Wrist, Semi-Constrained",2,OR,Orthopedic,888.3800,,N,1
FIG,"Clamp, Tubing, Blood, Automatic",2,GU,"Gastroenterology, Urology",876.5820,,N,1
KPT,"Calibrator, Dose, Radionuclide",2,RA,Radiology,892.1360,,N,1
SGQ,Intraoral Phototherapy Device,2,DE,Dental,872.5595,"An intraoral phototherapy device is an intraoral, non-ionizing, light-based device that is intended for non-surgical treatment of oral conditions such as oral mucositis.",N,1
HTT,"Burr, Orthopedic",1,OR,Orthopedic,888.4540,,N,4
PZT,Peripheral Blood Processing Device For Osteoarthritis,N,,Unknown,,Preparation of autologous anti-inflammatory (AAI) solution from a small sample of peripheral blood for treatment of osteoarthritis.,N,3
JXN,"Enzyme Immunoassay, Propoxyphene",2,TX,Clinical Toxicology,862.3700,,N,1
PWD,Flow Cytometric Test System For Hematopoietic Neoplasms,2,HE,Hematology,864.7010,"Reagents intended for in vitro diagnostic use as a panel for qualitative identification of cell populations by multiparameter immunophenotyping on a flow cytometer. These reagents are used as an aid in the differential diagnosis of hematologically abnormal patients having, or suspected of having the following hematopoietic neoplasms: chronic leukemia, acute leukemia, non-Hodgkin's lymphoma, myeloma, myelodysplastic syndrome (MDS), and/or myeloproliferative neoplasms (MPN)",N,1
KRI,"Accessory Equipment, Cardiopulmonary Bypass",1,CV,Cardiovascular,870.4200,,N,4
RHG,"Light, Spectrum, Broad (Non-Medical)",N,,Unknown,,A broad spectrum output noncoherent light source intended for general purpose.,Y,
KZE,"Injector, Fluid, Non-Electrically Powered",2,HO,General Hospital,880.5430,,N,1
OJK,Eye Tray,2,OP,Ophthalmic,886.4790,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,4
HNH,"Ring, Ophthalmic (Flieringa)",1,OP,Ophthalmic,886.4350,,N,4
QNO,Neuromuscular Tongue Muscle Stimulator For The Reduction Of Snoring And Obstructive Sleep Apnea,2,DE,Dental,872.5575,A neuromuscular tongue muscle stimulator for the reduction of snoring and obstructive sleep apnea consists of a removable intraoral mouthpiece that uses electrodes to deliver neuromuscular stimulation to the tongue to strengthen tongue musculature to reduce snoring and obstructive sleep apnea.,N,1
JGE,"Turbidimetric Method, Globulin",1,CH,Clinical Chemistry,862.1330,,N,4
OAC,"Plethysmograph, Air Displacement For Body Composition Analysis",2,CV,Cardiovascular,870.2770,To measure the total body volume and weight for calculating the estimated body composition (total body fat and total body lean mass).,N,1
PFU,Tissue Processing Kit,N,,Unknown,,For the preparation of human tissue specimens for frozen sectioning and histological examination.,N,7
JSL,"Culture Media, Anaerobic Transport",1,MI,Microbiology,866.2390,,N,1
KLX,Electroglottograph,2,EN,"Ear, Nose, Throat",874.1325,,N,4
GYD,"Transducer, Tremor",2,NE,Neurology,882.1950,,N,1
GPD,"Antigen, Indirect Fluorescent Antibody Test, Echinococcus Granulosus",1,MI,Microbiology,866.3200,,N,4
MCL,"Kit, Test, In Vitro Periodontal",3,,Unknown,,,N,2
SIF,Software Device System For Estimation Of Cardiac Pressures,2,CV,Cardiovascular,870.1150,"This prescription-only device uses machine learning-based algorithms to analyze one or more non-invasive physiologic signals or parameters to estimate a cardiac pressure (e.g. pulmonary capillary wedge pressure, left ventricular end diastolic pressure, or pulmonary artery pressure.) This device is intended for adjunctive use with patient information and is not intended to independently direct therapy. The device may contain hardware sensors. This device is not intended to estimate systemic, vascular blood pressure.",N,1
OXA,"Mesh, Surgical, Non-Absorbable, Thoracic, Chest Wall Reconstruction",2,SU,"General, Plastic Surgery",878.3300,For reinforcement of soft tissue where weakness exists during chest wall reconstruction.,N,1
