product_code,device_name,device_class,medical_specialty,medical_specialty_description,regulation_number,definition,gmp_exempt_flag,submission_type_id
PMX,Absorbable Collagen Hemostatic Agent With Thrombin,3,SU,"General, Plastic Surgery",878.4490,Intended for use as an adjunct to hemostasis when control of bleeding by ligature or conventional procedures is ineffective or impractical.,N,2
ECQ,"Aligner, Bracket, Orthodontic",1,DE,Dental,872.4565,,N,4
HTG,"Prosthesis, Knee, Hemi-, Patellar Resurfacing, Uncemented",2,OR,Orthopedic,888.3580,,N,1
OKP,Transcranial Magnetic Stimulator For The Treatment Of Migraine Headache,2,NE,Neurology,882.5808,"Transcranial magnetic stimulator for the treatment of migraine headache delivers brief duration, rapidly alternating, or pulsed, magnetic fields that are externally directed at spatially discrete regions of the brain to induce electric currents for the treatment of migraine headache.",N,1
IOR,"Wheelchair, Mechanical",1,PM,Physical Medicine,890.3850,A mechanical wheelchair is a manually operated device with wheels that is intended for medical purposes to provide mobility to persons restricted to a sitting position. FDA interprets mobility to persons restricted to a sitting position to mean the device type is intended to provide mobility to individuals who have mobility impairments and/or require an assistive device for mobility.,N,1
DEW,"Igg, Antigen, Antiserum, Control",2,IM,Immunology,866.5510,,N,1
PTM,"Syringe, Balloon Inflation, Exempt",2,CV,Cardiovascular,870.1650,"This product code is the class II exempt counterpart of MAV, and was exempted, subject to the limitations of exemption, under the procedures established by the 21st Century Cures Act. This device type does not require premarket notification (510(k)) to market if it does not exceed the general limitations of exemption found in 21 CFR 870.9 and the specific limitations of exemption as stated in the Physical State field of this product code description.",N,4
GRT,"Antiserum, Fluorescent, Mycobacterium Tuberculosis",1,MI,Microbiology,866.3370,,N,1
DOJ,"Potassium Dichromate, Alcohol",2,TX,Clinical Toxicology,862.3040,,N,1
GJP,"Control, Platelet",2,HE,Hematology,864.8625,,N,4
NLL,"Staple, Implantable, Reprocessed",2,SU,"General, Plastic Surgery",878.4750,"Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
LJZ,"Enzyme Linked Immunoabsorbent Assay, Mycoplasma Spp.",1,MI,Microbiology,866.3375,,N,4
EKT,"Curette, Endodontic",1,DE,Dental,872.4565,,N,4
PRB,Cervical Intraepithelial Neoplasia (Cin) Test System,2,PA,Pathology,864.1865,"The p16 CIN test system is a qualitative immunohistochemistry (IHC) test to assess the p16INK4a protein in formalin-fixed, paraffin-embedded (FFPE) cervical punch biopsy tissues. It is indicated as an adjunct to examination of hematoxylin and eosin (H&E) stained slide(s), to improve consistency in the diagnosis of CIN.  Diagnosis of CIN presence or level should be based on H&E stained slide(s) and other clinical and laboratory test information.",N,1
DZI,"Drill, Bone, Powered",2,DE,Dental,872.4120,,N,1
FSW,"Light, Surgical, Endoscopic",2,SU,"General, Plastic Surgery",878.4580,,N,4
HMK,"Euthyscope, Ac-Powered",2,OP,Ophthalmic,886.1250,,N,4
EOQ,Bronchoscope (Flexible Or Rigid),2,EN,"Ear, Nose, Throat",874.4680,"A bronchoscope (flexible or rigid) and accessories is a tubular endoscopic device with any of a group of accessory devices which attach to the bronchoscope and is intended to examine or treat the larynx and tracheobronchial tree. If the device is reprocessed, reprocessing validation data for this device type must be included in a 510(k) submission.    If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,1
LKY,"Device, External Penile Rigidity",2,GU,"Gastroenterology, Urology",876.5020,"Intended to create or maintain sufficient penile rigidity for sexual intercourse.  These include vacuum pumps, constriction rings, and penile splints, which are mechanical, powered or pneumatic devices.",N,4
DBI,"Complement C4, Antigen, Antiserum, Control",2,IM,Immunology,866.5240,,N,1
OXJ,"Mesh, Surgical, Non-Absorbable, Large Abdominal Wall Defects",2,SU,"General, Plastic Surgery",878.3300,For reinforcement of soft tissue where weakness exists in abdominal wall defects.,N,1
OCB,"Rt-Pcr Multigene Expression Test, Sentinel Lymph Node, Cancer Metastasis Detection",3,,Unknown,,"A gene expression test for detection of cancer metastasisis an in vitro diagnostic test performed on tissue of interest from patients previously diagnosed with cancer.  Results from the test can be used to guide the intra-operative or post-operative decision to remove additional tissue. Post-operative histological evaluation of permanent sections of the tissue specimen, in accordance with usual diagnostic practice and using an appropriate histological sampling scheme, is required.",N,2
KYZ,"Syringe, Irrigating (Non Dental)",1,HO,General Hospital,880.6960,,Y,4
PCQ,"Inhibitor, Postoperative Fibrosis (Spine Adhesion Barrier)",N,,Unknown,,Intended for use as a mechanical barrier to adhesion formation.,N,3
OQT,"Prostate Lesion, Documentation, System",2,GU,"Gastroenterology, Urology",876.2050,Produces an elasticity image of the prostate to document prostate abnormalities that were previously identified by digital rectal examination.,N,1
PYJ,Ulcer Wound Tray,1,SU,"General, Plastic Surgery",878.4014,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
MVY,"Monoclonal, Hiv-1",N,,Unknown,,,N,3
DGR,"Whole Human Serum, Antigen, Antiserum, Control",1,IM,Immunology,866.5700,,N,4
PXV,General Purpose Instrument Tray,1,SU,"General, Plastic Surgery",878.4800,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
EKH,"Carver, Dental Amalgam, Operative",1,DE,Dental,872.4565,,N,4
KTT,"Appliance, Fixation, Nail/Blade/Plate Combination, Multiple Component",2,OR,Orthopedic,888.3030,,N,1
JGK,"Ferric Chloride, Phenylketones (Urinary, Non-Quant.)",1,CH,Clinical Chemistry,862.1560,,N,4
KFW,"Assembly, Shoulder/Elbow/Forearm/Wrist/Hand, Powered",1,PM,Physical Medicine,890.3420,,Y,4
MMW,"System, Test, Tumor Marker, Monitoring, Bladder",2,IM,Immunology,866.6010,,N,1
LWX,Device. Laser Peripheral Angioplasty,3,,Unknown,,,N,2
JTO,"Discs, Strips And Reagents, Microorganism Differentiation",1,MI,Microbiology,866.2660,,N,4
LCZ,"U.V. Spectrometry, Primidone",2,TX,Clinical Toxicology,862.3680,,N,1
JPC,Hemoglobin F Quantitation,2,HE,Hematology,864.7455,,N,1
NUV,"Massager, Vacuum, Light Induced Heating",2,SU,"General, Plastic Surgery",878.4810,The device is intended to temporarily alter the appearance of cellulite,N,1
LOO,"Reagent, Leishmanii Serological",1,MI,Microbiology,866.3870,,N,1
LYC,"Bone Grafting Material, Synthetic",2,DE,Dental,872.3930,"A synthetic bone grafting material is synthetically-derived device, such as hydroxylapatite, intended to fill, augment, or reconstruct periodontal and or bony defects of the upper or lower jaw.",N,1
MNM,"Reader, Cervical Cytology Slide, Automated",3,,Unknown,,,N,2
EIE,"Dam, Rubber",1,DE,Dental,872.6300,,Y,4
JRM,Freezer,1,CH,Clinical Chemistry,862.2050,,Y,4
SDE,Light Based Device For Dry Age-Related Macular Degeneration,2,OP,Ophthalmic,886.5520,A light based device for dry age-related macular degeneration is a prescription device intended for use in the application of non- coherent light energy to the eye. The device treats or improves visual acuity in patients with dry age-related macular degeneration.,N,1
JZZ,"Saw, Laryngeal",1,EN,"Ear, Nose, Throat",874.4420,,N,4
ODD,Endoscopic Retrograde Cholangiopancreatography (Ercp) Cannula,2,GU,"Gastroenterology, Urology",876.1500,"To identify stones, tumors, or narrowing in the biliary tree.",N,1
DHB,"System, Test, Radioallergosorbent (Rast) Immunological",2,IM,Immunology,866.5750,,N,1
QVS,Breast Implant Suction Retrieval Device,2,SU,"General, Plastic Surgery",878.4675,A breast implant suction retrieval system is a prescription surgical device that uses vacuum suction to assist in the removal and containment of a ruptured silicone breast implant.,N,1
PMI,"Fluorescence In Situ Hybridization, Platelet-Derived Growth Factor Receptor, Beta Polypeptide (Pdgfrb), Rearrangement",3,,Unknown,,A fluorescence in situ hybridization (FISH) assay for PDGFRB rearrangement is a qualitative in vitro diagnostic assay to detect large rearrangements or translocations within the PDGFRB gene locus. It is indicated as an aid in the assessment of patients for whom treatment with tyrosine kinase inhibitors might be appropriate.,N,6
